Kort titel;Titel;Memba Text Match;Kategori;Pris;Pris pr
MTB;Cykel Mountainbike;Cykel Mountainbike, pris pr. dag 10 kr.;-;10;Dag
ECY;El-cykel;El-cykel, pris pr. dag 50 kr.;-;50;Dag
KB;Kassebil;Kassebil, pris pr. dag 290 kr.;-;290;Dag
KBL;Kassebil Med Lift;Kassebil M Lift, pris pr. dag 500 kr.;-;500;Dag
KBM;Kassebil, Mini;Kassebil- lille, pris pr. dag 290 kr.;-;290;Dag
KBS;Kassebil, Stor;Kassebil, stor, pris pr. dag 290 kr.;-;290;Dag
LB;Ladbil;Ladbil, pris pr. dag 540 kr.;-;540;Dag
LBD;Ladbil - Dobbeltkabine;Ladbil - Dobbeltkabine, pris pr. dag 540 kr.;-;540;Dag
MB;Minibus;Minibus, pris pr. dag 700 kr.;-;700;Dag
PBE;Person bil EL;Person bil EL, pris pr. dag 180 kr.;-;180;Dag
PB;Personbil;Personbil, pris pr. dag 280 kr.;-;280;Dag
PBS;Personbil, Stationcar;Personbil, Stationcar, pris. pr. dag 280 kr.;-;280;Dag
POL;Polaris;Polaris;-;375;Dag
SCL30-;Scooter (30 km/t) M Lad;Scooter (30 km/t) M Lad, pris pr. dag 125 kr.;-;125;Dag
SCL45-;Scooter (45 km/t) M Lad;Scooter (45 km/t) M Lad, pris pr. dag 125 kr.;-;125;Dag
SC30-;Scooter (30km/t);Scooter (30km/t), pris pr. dag 125 kr.;-;125;Dag
SC30-;Scooter (45km/t);Scooter (45km/t), pris pr. dag 125 kr.;-;125;Dag
TRL;Trailer;;-;0;Dag
